,odd 2,sorting_1
0,Switzerland,3.96
1,Norway,3.71
2,Netherlands,3.63
3,Denmark,3.43
4,Finland,3.31
5,Germany,3.2
6,Sweden,3.13
7,United Kingdom,3.1
8,Australia,2.96
9,Belgium,2.67
10,Austria,2.67
11,United States,2.5
12,Canada,2.4
13,Ireland,2.24
14,Malta,2.13
15,New Zealand,2.07
16,United Arab Emirates,2.04
17,Portugal,1.81
18,France,1.81
19,Latvia,1.6
20,Spain,1.6
21,Estonia,1.6
22,Cyprus,1.6
23,Italy,1.6
24,Israel,1.55
25,Puerto Rico,1.5
26,Singapore,1.47
27,Croatia,1.46
28,South Africa,1.42
29,Japan,1.42
30,Slovenia,1.39
31,Uruguay,1.31
32,Oman,1.3
33,Greece,1.28
34,Hong Kong (China),1.28
35,Hungary,1.11
36,Bosnia And Herzegovina,1.1
37,Czech Republic,1.08
38,Saudi Arabia,1.07
39,Lithuania,1.07
40,Montenegro,1.07
41,Poland,1.01
42,Brazil,1.01
43,South Korea,0.98
44,Jamaica,0.97
45,Kuwait,0.97
46,Slovakia,0.96
47,Costa Rica,0.93
48,Palestine,0.92
49,Mauritius,0.89
50,Bulgaria,0.87
51,Thailand,0.84
52,Chile,0.83
53,Jordan,0.78
54,North Macedonia,0.69
55,Colombia,0.69
56,Kenya,0.68
57,Dominican Republic,0.66
58,Malaysia,0.64
59,Romania,0.64
60,Taiwan,0.63
61,Mexico,0.61
62,Guatemala,0.6
63,Serbia,0.59
64,Qatar,0.55
65,Peru,0.54
66,Kosovo,0.53
67,Venezuela,0.5
68,Morocco,0.49
69,Ukraine,0.41
70,China,0.41
71,Bangladesh,0.41
72,Albania,0.4
73,Iraq,0.38
74,Georgia,0.38
75,Turkey,0.37
76,India,0.36
77,Russia,0.36
78,Panama,0.35
79,Ecuador,0.35
80,Belarus,0.34
81,Indonesia,0.33
82,Iran,0.29
83,Vietnam,0.29
84,Bolivia,0.29
85,Armenia,0.26
86,Philippines,0.26
87,Tunisia,0.25
88,Azerbaijan,0.24
89,Egypt,0.23
90,Argentina,0.21
91,Kazakhstan,0.19
92,Nepal,0.19
93,Algeria,0.18
94,Pakistan,0.17
95,Sri Lanka,0.15
96,Uzbekistan,0.13
97,Syria,0.1
98,Luxembourg,0.0
99,Moskva,1.0
100, USA, 2.4
